iter	Accuracy	Logloss
105	0.8118218161	0.4133683053
106	0.8113934894	0.4125256156
107	0.8116790405	0.411973456
108	0.8119645917	0.4115113487
109	0.811536265	0.4108473249
110	0.8121073672	0.4103561767
111	0.8125356939	0.4098102161
112	0.8126784694	0.4092288643
113	0.8136778983	0.4088675297
114	0.8133923472	0.4081277876
115	0.814106225	0.4075725395
116	0.8145345517	0.4072243713
117	0.8148201028	0.4066298858
118	0.8158195317	0.4061071044
119	0.8151056539	0.4058154485
120	0.815391205	0.4052765064
121	0.8161050828	0.4049720996
122	0.8161050828	0.4045326812
123	0.8168189606	0.4038994511
124	0.8172472873	0.4033942742
125	0.8183894917	0.4028552283
126	0.8185322673	0.4024841926
127	0.8183894917	0.4020555512
128	0.8185322673	0.4016438579
129	0.8195316962	0.4011191729
130	0.8198172473	0.4007579856
131	0.8198172473	0.4003847183
132	0.8199600228	0.4000005843
133	0.8201027984	0.3995712755
134	0.820245574	0.399205243
135	0.8211022273	0.3987277919
136	0.8208166762	0.3983811885
137	0.8213877784	0.3979201834
138	0.8206739006	0.3975225983
139	0.8208166762	0.39696425
140	0.8209594517	0.3964800991
141	0.8212450029	0.3960809205
142	0.8216733295	0.3958529883
143	0.8219588806	0.3955790599
144	0.821530554	0.3951475909
145	0.8211022273	0.3947708443
146	0.8216733295	0.3945811704
147	0.8213877784	0.3941950236
148	0.8213877784	0.3939303512
149	0.821530554	0.3936348543
150	0.821530554	0.3932803948
151	0.8222444318	0.3929766408
152	0.8222444318	0.3926173509
153	0.822815534	0.3923338208
154	0.8236721873	0.3916083755
155	0.8235294118	0.3914399385
156	0.824100514	0.3909990887
157	0.8243860651	0.3907533069
158	0.8242432895	0.3903952103
159	0.8248143918	0.3898377202
160	0.8245288407	0.389599678
161	0.8252427184	0.3891681659
162	0.8246716162	0.3889189553
163	0.825385494	0.3882476935
164	0.8259565962	0.3875469866
165	0.826670474	0.3871956023
166	0.8270988007	0.386732636
167	0.8269560251	0.3864308457
168	0.8275271274	0.3860226706
169	0.8272415762	0.3857570737
170	0.8273843518	0.3855466204
171	0.8276699029	0.3852570853
172	0.8275271274	0.3849165513
173	0.8273843518	0.3846546543
174	0.8272415762	0.384434448
175	0.827955454	0.384109374
176	0.8276699029	0.3837875198
177	0.8280982296	0.3833170071
178	0.8283837807	0.3830548764
179	0.8280982296	0.3826847373
180	0.8282410051	0.3824342073
181	0.8280982296	0.3819725797
182	0.8285265563	0.3816232929
183	0.8286693318	0.3813304078
184	0.8290976585	0.3809988173
185	0.8293832096	0.3807125485
186	0.8290976585	0.3804050054
187	0.8296687607	0.3802138769
188	0.8303826385	0.3800244864
189	0.8302398629	0.3796717962
190	0.8302398629	0.3792355176
191	0.830525414	0.37891083
192	0.8303826385	0.378631889
193	0.8308109652	0.3783007032
194	0.830525414	0.3780962518
195	0.8313820674	0.3776891839
196	0.8315248429	0.3774502446
197	0.8325242718	0.3771551968
198	0.8325242718	0.3768434565
199	0.832809823	0.3765318225
200	0.834094803	0.3762742448
201	0.8338092519	0.3759857205
202	0.8336664763	0.3757989016
203	0.8336664763	0.3755183628
204	0.8335237007	0.3752484263
205	0.8335237007	0.3749850188
206	0.8333809252	0.3747585063
207	0.8342375785	0.3744087871
208	0.8342375785	0.374157275
209	0.8338092519	0.3739423414
210	0.8335237007	0.3733495855
211	0.8342375785	0.3730615548
212	0.8342375785	0.3727316735
213	0.8349514563	0.3721006879
214	0.8349514563	0.3718115209
215	0.8349514563	0.3715575146
216	0.8345231296	0.3712442324
217	0.8345231296	0.3709846222
218	0.8346659052	0.370755204
219	0.8348086808	0.3705978437
220	0.835379783	0.3703490047
221	0.8352370074	0.3699006662
222	0.8352370074	0.3697381087
223	0.8355225585	0.3696238655
224	0.835379783	0.3691401521
225	0.8359508852	0.3689166025
226	0.8360936608	0.3687885736
227	0.8363792119	0.3686005576
228	0.8370930897	0.3683552879
229	0.8372358652	0.3681010836
230	0.8372358652	0.3677547855
231	0.8369503141	0.3675424526
232	0.8369503141	0.3671508048
233	0.8365219874	0.3669628767
234	0.836664763	0.3667902855
235	0.8368075385	0.3665968813
236	0.837949743	0.3664307874
237	0.8376641919	0.3661808365
238	0.837949743	0.3660344598
239	0.8378069674	0.3659246546
240	0.8380925186	0.3656911762
241	0.8385208452	0.3654394353
242	0.8383780697	0.3651095424
243	0.8383780697	0.3649726983
244	0.8380925186	0.364750838
245	0.8386636208	0.3645369129
246	0.8386636208	0.3643373959
247	0.8389491719	0.3641719258
248	0.8386636208	0.3639197847
249	0.8390919475	0.3637482811
250	0.8396630497	0.3635143869
251	0.8395202741	0.363101244
252	0.8396630497	0.3628962619
253	0.8396630497	0.3626800105
254	0.8396630497	0.3624646748
255	0.8398058252	0.3622502971
256	0.8402341519	0.3620247997
257	0.8398058252	0.3616943716
258	0.8398058252	0.3615432121
259	0.8399486008	0.3613848197
260	0.8399486008	0.3613161289
261	0.8400913764	0.3611755427
262	0.8398058252	0.3610328068
263	0.8396630497	0.3608215974
264	0.8400913764	0.360591535
265	0.840519703	0.3603898356
266	0.8406624786	0.360101659
267	0.8415191319	0.3598637044
268	0.8413763564	0.3596939203
269	0.841804683	0.3593746299
270	0.8415191319	0.3591394569
271	0.8415191319	0.3589166813
272	0.8416619075	0.3584053054
273	0.8415191319	0.3581851103
274	0.8415191319	0.3579829429
275	0.8416619075	0.357825881
276	0.8415191319	0.357655061
277	0.841804683	0.3574595766
278	0.8422330097	0.3573228866
279	0.8415191319	0.3571596142
280	0.8423757853	0.3568431636
281	0.8422330097	0.3565927095
282	0.8420902342	0.3563524185
283	0.8422330097	0.3561584362
284	0.8425185608	0.3559480044
285	0.8429468875	0.3556973589
286	0.8426613364	0.355418892
287	0.8429468875	0.355160217
288	0.8428041119	0.3549119818
289	0.8432324386	0.3546978749
290	0.8432324386	0.3543642456
291	0.8433752142	0.35415496
292	0.8435179897	0.3539282932
293	0.8436607653	0.3536659619
294	0.8436607653	0.3533442231
295	0.8435179897	0.3531776843
296	0.8439463164	0.3529834554
297	0.8436607653	0.3527531725
298	0.8443746431	0.3525650668
299	0.8448029697	0.352276186
300	0.8449457453	0.3520952419
301	0.8448029697	0.3518130573
302	0.8446601942	0.351558523
303	0.8450885208	0.3511450623
304	0.8450885208	0.3509547297
305	0.8450885208	0.3507538475
306	0.8452312964	0.3505976027
307	0.845374072	0.3503462375
308	0.845374072	0.3501504201
309	0.8456596231	0.3499187327
310	0.8455168475	0.3497544977
311	0.8459451742	0.3494520546
312	0.8458023986	0.3492252464
313	0.8463735009	0.3490243629
314	0.8462307253	0.3488506414
315	0.8460879497	0.3486896242
316	0.846659052	0.3484518131
317	0.8465162764	0.3482598789
318	0.846659052	0.3480499675
319	0.8462307253	0.3479124057
320	0.8462307253	0.3477604592
321	0.8463735009	0.3475709305
322	0.846659052	0.3474014872
323	0.846659052	0.3472395524
324	0.8470873786	0.3469294211
325	0.8476584809	0.346619293
326	0.8478012564	0.3464957653
327	0.8476584809	0.3462700651
328	0.8478012564	0.3460947962
329	0.847944032	0.3458957673
330	0.8478012564	0.3457104938
331	0.8478012564	0.3455081347
332	0.847944032	0.3453136354
333	0.847944032	0.3450839767
334	0.847944032	0.3448099313
335	0.8482295831	0.3445580544
336	0.8482295831	0.3441448063
337	0.8480868075	0.3438731779
338	0.8480868075	0.3436951908
339	0.8478012564	0.3434415675
340	0.8478012564	0.3433298072
341	0.8480868075	0.343060892
342	0.8483723587	0.3428471699
343	0.8480868075	0.3425577483
344	0.8482295831	0.3423498788
345	0.8485151342	0.3422178648
346	0.8485151342	0.3420617162
347	0.8482295831	0.3418990409
348	0.8483723587	0.3415782979
349	0.8483723587	0.3413583819
350	0.8483723587	0.3412036996
351	0.8483723587	0.3410453693
352	0.8488006853	0.34084441
353	0.8486579098	0.3406210757
354	0.8488006853	0.3404258661
355	0.8486579098	0.3401508272
356	0.8490862364	0.3399584939
357	0.8489434609	0.3398519533
358	0.8490862364	0.3396745435
359	0.8495145631	0.3394913638
360	0.8495145631	0.3392527972
361	0.8495145631	0.3390173432
362	0.8493717875	0.3387037496
363	0.8496573387	0.3385561084
364	0.8495145631	0.3383769084
365	0.8493717875	0.3381027561
366	0.8496573387	0.3378670982
367	0.8496573387	0.3377755818
368	0.8500856653	0.3376126555
369	0.8507995431	0.3373069019
370	0.8507995431	0.3371544307
371	0.8509423187	0.3368273154
372	0.8509423187	0.3365979566
373	0.8507995431	0.3363734339
374	0.8507995431	0.3361404277
375	0.8510850942	0.3359415156
376	0.851798972	0.3357098826
377	0.8515134209	0.3355197061
378	0.8512278698	0.3354331726
379	0.8512278698	0.3351849808
380	0.8513706453	0.3350474745
381	0.8512278698	0.3348840307
382	0.8513706453	0.3345473905
383	0.8516561965	0.3343334099
